id,"public_id","title_en","title_cy","description_en","description_cy",parent_id,"created_at","updated_at",ordinal,"image","title_tag_en","title_tag_cy","preview_image",navigation
365,"partners-uc-banks","Universal Credit. Frontline guide","Universal Credit. Frontline guide","An introduction to Universal Credit, why customers on Universal Credit need to open a bank account, and how you may be able to help them.","An introduction to Universal Credit and what your customers may ask.",NULL,"2013-10-31 09:27:12","2014-04-15 13:55:24",11,"","Universal Credit. Frontline guide","Universal Credit. Frontline guide","",0
374,"our-debt-work","Our Debt Work","Ein Gwaith Dyled","When people are struggling with debt it’s more important than ever that they have access to effective advice. We work with partners to make debt advice easier and quicker to access, and to improve standards and quality across the sector.","Pan fo pobl yn cael trafferthion gyda dyled mae'n bwysicach nag erioed eu bod yn cael mynediad i gyngor effeithlon. Gweithiwn gyda phartneriaid i'w gwneud yn rhwyddach chyflymach i gael cyngor ynghylch dyled, ac i wella safonau ac ansawdd ar draws sector.",NULL,"2013-12-02 16:56:32","2013-12-02 16:56:32",13,"","Our Debt Work - Money Advice Service","Ein Gwaith Dyled - Gwasanaeth Cynghori Ariannol","",0
378,"interactive-timelines","Interactive timelines","Amserlenni rhyngweithiol","Explore our money timelines so you know the actions to take and things that could affect your income","Ewch drwy ein llinellau amser arian i chi wybod beth i’w wneud a phethau a allai effeithio ar eich incwm",318,"2014-01-21 16:58:32","2014-01-21 16:58:32",11,"","Interactive timelines","Amserlenni rhyngweithiol","",0
379,"partners-uc-landlords","Welfare reform - information for landlords","Diwygio lles - gwybodaeth ar gyfer landlordiaid","Universal Credit, changes to Housing Benefit, and how to help your tenants manage their own rent payments","Credyd Cynhwysol, newidiadau i Fudd-dal Tai, a sut i helpu’ch tenantiaid i reoli eu taliadau rhent eu hunain",NULL,"2014-03-06 12:04:07","2014-03-06 12:04:07",14,"","Welfare reform - information for landlords","Diwygio lles - gwybodaeth ar gyfer landlordiaid","howhousingbenefitischanging.jpg",0
383,"universal-credit","Universal Credit","Credyd Cynhwysol","Get ready for the new single monthly payment which has started to replace six existing benefits.","Paratowch am y taliad misol sengl newydd sydd wedi dechrau disodli chwe budd-daliad presennol.",397,"2014-04-01 13:22:21","2014-04-28 16:43:49",2,"","Universal Credit","Credyd Cynhwysol","",1
385,"help-with-your-benefits","Help with your benefits","Help gyda’ch budd-daliadau","Help with getting the right entitlements, where to get benefits support and advice and what to do if your payments are cut.","Help wrth gael yr hawliadau cywir, ble i gael cymorth a chyngor ynghylch budd-daliadau a beth i'w wneud os torrir eich taliadau.",397,"2014-04-01 13:53:06","2014-04-28 16:43:50",0,"","Help with your benefits","Help gyda’ch budd-daliadau","",1
386,"resources-for-professionals-working-with-young-people-and-parents","Resources for professionals who work with young people and parents","Adnoddau ar gyfer gweithwyr proffesiynol sy’n gweithio gyda phobl ifanc a rhieni","A wide variety of resources on money management for professionals supporting young people and parents","Amrywiaeth eang o adnoddau ar reoli arian ar gyfer gweithwyr proffesiynol sy’n cefnogi pobl ifanc a rhieni",NULL,"2014-04-10 13:51:46","2014-04-15 12:10:52",15,"","Resources for professionals who work with young people and parents","Adnoddau ar gyfer gweithwyr proffesiynol sy’n gweithio gyda phobl ifanc a rhieni","resources-for-professionals-who-work-with-young-people-and-parents.jpg",0
387,"resources-for-professionals-supporting-young-people","Resources for professionals supporting young people","Adnoddau ar gyfer gweithwyr proffesiynol sy’n cefnogi pobl ifanc","Multi-media resources to support young people making their first financial decisions, whether they're in education or moving into work","Adnoddau amlgyfrwng i gefnogi pobl ifanc sy’n gwneud eu penderfyniadau ariannol cyntaf, p’un ai a ydynt mewn addysg neu’n symud i waith",NULL,"2014-04-10 13:54:01","2014-04-15 12:11:34",16,"","Resources for professionals supporting young people","Adnoddau ar gyfer gweithwyr proffesiynol sy’n cefnogi pobl ifanc","resources-for-professionals-supporting-young-people.jpg",0
388,"resources-for-professionals-supporting-parents","Resources for professionals supporting parents","Adnoddau ar gyfer gweithwyr proffesiynol sy’n cefnogi rhieni","A range of resources to help make parents aware of how they can ensure their children develop good money habits for life","Amrywiaeth o adnoddau i helpu i wneud rhieni’n ymwybodol o sut y gallant sicrhau bod eu plant yn datblygu arferion ariannol da am oes",NULL,"2014-04-10 13:54:58","2014-04-15 12:13:04",17,"","Resources for professionals supporting parents","Adnoddau ar gyfer gweithwyr proffesiynol sy’n cefnogi rhieni","resources-for-professionals-supporting-parents.jpg",0
389,"research-and-toolkits-on-young-people-and-money","Research and toolkits on young people and money","Ymchwil a phecynnau offer ar bobl ifanc ac arian","Innovative research and toolkits to help you develop your support for young people in the areas of financial capability and parenting skills","Ymchwil a phecynnau offer arloesol i’ch helpu i ddatblygu eich cymorth ar gyfer pobl ifanc ym meysydd galluogrwydd ariannol a sgiliau rhianta",NULL,"2014-04-10 13:56:37","2014-04-17 13:26:55",18,"","Research and toolkits on young people and money","Ymchwil a phecynnau offer ar bobl ifanc ac arian","research-and-toolkits-on-young-people-and-money.jpg",0
397,"benefits","Benefits","Budd-daliadau","Find out what benefits you're entitled to and learn about Universal Credit","Edrychwch pa fudd-daliadau y mae gennych hawl iddynt a dysgu am Gredyd Cynhwysol",NULL,"2014-04-28 16:43:48","2014-07-21 13:36:59",5,"","","","",1
